<DATABASE_ID>,<DATABASE_NAME>,<MOLECULAR_WEIGHT>,<JCHEM_ACCEPTOR_COUNT>,<JCHEM_AVERAGE_POLARIZABILITY>,<JCHEM_DONOR_COUNT>,<JCHEM_FORMAL_CHARGE>,<JCHEM_LOGP>,<JCHEM_NUMBER_OF_RINGS>,<JCHEM_PHYSIOLOGICAL_CHARGE>,<JCHEM_PKA>,<JCHEM_PKA_STRONGEST_ACIDIC>,<JCHEM_PKA_STRONGEST_BASIC>,<JCHEM_POLAR_SURFACE_AREA>,<JCHEM_REFRACTIVITY>,<JCHEM_ROTATABLE_BOND_COUNT>,<DRUGBANK_ID>
DB00148,drugbank,131.1332,5,12.170880209535248,3,0,-2.8642238844128185,0,0,,3.501029063602651,12.429771248504041,90.41,42.0127,2,DB00148
DB00149,drugbank,131.1729,3,14.159799841686521,2,0,-1.5861571715466434,0,0,,2.7877088821858544,9.51901425787269,63.31999999999999,34.1709,3,DB00149
DB00150,drugbank,204.2252,3,21.047414013171778,3,0,-1.0854569138833579,2,0,16.1565885064574,2.5439286383469866,9.396082567807317,79.11,56.20280000000001,3,DB00150
DB00151,drugbank,121.158,3,11.405322792266677,3,0,-2.7921332976482773,0,0,10.171891903949282,2.345995198078135,9.053809511128133,63.31999999999999,28.2236,2,DB00151
DB00152,drugbank,265.355,4,28.144123736361827,2,1,-3.0974126491384126,2,1,19.255646949944182,15.504603864004356,5.537548442171222,75.91,73.39970000000001,4,DB00152
DB00153,drugbank,396.6484,1,50.73329446982394,1,0,7.050558194333334,3,0,,18.384341369959035,-1.3184890847799178,20.23,128.88969999999998,5,DB00153
DB00154,drugbank,306.4828,2,39.01409630612153,1,0,6.9490924676666666,0,-1,,4.885823686047827,,37.3,98.83739999999999,15,DB00154
DB00155,drugbank,175.1857,4,17.34757818367823,4,0,-3.9319578381140263,0,0,15.333969157335531,2.2682474980163243,9.225134668659093,118.43999999999998,41.329,5,DB00155
DB00156,drugbank,119.1192,4,11.078258022254149,3,0,-3.4709635238772347,0,0,14.953369305664726,2.207432028688761,9.002504827404067,83.55,26.4598,2,DB00156
DB00157,drugbank,665.441,16,57.65192655578967,8,0,-6.471755840083135,5,-2,1.7855441775406575,-7.0347696301673475,4.996693627326843,317.61999999999995,142.99969999999996,11,DB00157
DB00158,drugbank,441.3975,12,42.05656599350642,6,0,-0.6822492521481692,3,-2,4.173203635301818,3.3738733533368284,2.0868651603506487,208.99000000000004,111.01120000000002,9,DB00158
DB00159,drugbank,302.451,2,35.929318415657974,1,0,6.225249154333334,0,-1,,4.819771840522258,,37.3,101.07059999999998,13,DB00159
DB00160,drugbank,89.0932,3,8.487233835110633,2,0,-2.8407879097329416,0,0,,2.474897471379417,9.476905287351833,63.31999999999999,20.4973,1,DB00160
DB00161,drugbank,117.1463,3,12.191412403732404,2,0,-1.953136464200883,0,0,,2.7172733818557755,9.599176382928611,63.31999999999999,29.4929,2,DB00161
DB00162,drugbank,286.4516,1,36.5403584594368,1,0,4.694093173000001,1,0,,16.435769749539965,-2.1707943115512176,20.23,97.92339999999999,5,DB00162
DB00163,drugbank,430.7061,2,55.28889055670551,1,0,10.507717260000002,2,0,,10.802178125613777,-4.852614901775799,29.46,135.37409999999997,12,DB00163
DB00165,drugbank,169.1778,4,17.112304740817212,3,0,-0.9513212983333332,1,0,14.533140285427315,9.397430003835803,5.584997111043129,73.58000000000001,44.1053,2,DB00165
DB00166,drugbank,206.326,2,21.744975428939433,1,0,2.1137794076666667,1,-1,,4.523468122735193,,37.3,54.3714,5,DB00166
DB00167,drugbank,131.1729,3,14.114543432356673,2,0,-1.5084066056000942,0,0,,2.7913082723326537,9.591345628135606,63.31999999999999,34.093900000000005,3,DB00167
DB00168,drugbank,294.3031,5,29.58065029218276,3,0,-2.218210535836386,1,0,12.17607698877404,3.5257229983189755,8.52525108935207,118.71999999999998,73.2182,8,DB00168
DB00169,drugbank,384.6377,1,49.600072009805885,1,0,7.125460754666667,3,0,,18.384341369959035,-1.3184890847799178,20.23,123.22449999999996,6,DB00169
DB00170,drugbank,172.18,2,17.63715861491039,0,0,1.88986844,2,0,,12.936644003276722,-7.157932075900291,34.14,50.5403,0,DB00170
DB00171,drugbank,507.181,14,38.91732303474521,7,0,-5.997648923478092,3,-3,2.529995495016655,0.8952439681660112,4.995475043764994,279.13,95.81429999999999,8,DB00171
DB00172,drugbank,115.1305,3,11.50403298353395,2,0,-2.568638276039985,1,0,,1.9406707712827915,11.332026115136207,49.33,28.064299999999996,1,DB00172
DB00173,drugbank,135.1267,4,12.291219062634632,2,0,-0.5734702306666666,2,0,,10.29344091776159,5.320371483757757,80.48,38.2195,0,DB00173
DB00174,drugbank,132.1179,4,11.677080187792834,3,0,-4.287830841089268,0,0,16.09048069675879,1.9985390993927763,8.433487205020553,106.41,28.354899999999997,3,DB00174
DB00175,drugbank,424.5277,6,46.559687533993895,4,0,1.6470916203333337,2,-1,14.53379507969305,4.2122988042928835,-2.7214650667541234,124.28999999999999,113.59790000000001,11,DB00175
DB00176,drugbank,318.34,4,32.43969539227251,1,0,2.7953195803333326,1,1,,8.863029671335692,,56.84,79.19710000000003,10,DB00176
DB00177,drugbank,435.5188,6,47.27314752925239,2,0,5.2693789780000015,3,-1,7.399818067465363,4.366355827724827,-0.11251135131002898,112.07000000000001,134.7733,10,DB00177
DB00178,drugbank,416.5106,5,44.78767688316564,2,0,1.4738114378387788,3,-1,,3.7489298896886947,5.203591906368744,95.93999999999998,111.18680000000002,10,DB00178
DB00179,drugbank,302.3649,4,33.629093395269315,4,0,4.758522743999999,2,0,9.808299093340917,9.206546692580925,-6.25042985340511,80.92,86.619,5,DB00179
DB00180,drugbank,434.4977,6,44.66924380048613,2,0,1.5607916399999988,5,0,14.732601647064502,13.730664316530813,-2.8515426282134735,93.06,111.8852,2,DB00180
DB00181,drugbank,213.661,3,21.126856164006483,2,0,-0.7824002601230235,1,0,,3.88689479330878,9.792014945506153,63.31999999999999,54.82920000000001,4,DB00181
DB00182,drugbank,135.2062,1,16.174738885675872,1,0,1.8042504816666665,1,1,,10.01443581771614,,26.02,43.7052,2,DB00182
DB00184,drugbank,162.2316,2,18.58909809719573,0,0,1.1625346926666664,2,1,,8.861872125269352,,16.130000000000003,49.655,1,DB00184
DB00185,drugbank,199.313,2,21.890825721634357,0,0,0.996406311666666,3,1,,8.594400747003007,,12.47,55.92209999999999,0,DB00185
DB00186,drugbank,321.158,3,30.334841156311175,2,0,3.527325488,3,0,12.461590649872107,10.606301472079005,-2.236353065972286,61.69,82.6992,1,DB00186
DB00187,drugbank,295.374,4,33.67622024849671,2,0,1.8224301829999994,1,1,,14.087971415863226,9.666166605708492,67.78999999999999,81.0532,10,DB00187
DB00189,drugbank,144.6,1,14.766102360555642,1,0,1.620819461,0,0,,12.877910831568652,-3.727001802271872,20.23,38.6382,2,DB00189
DB00190,drugbank,226.2292,6,21.806808336346297,5,0,-1.2078362008406989,1,-1,9.28650563164388,2.3544595300449216,5.663329899668677,115.80999999999999,68.7683,4,DB00190
DB00191,drugbank,149.2328,1,17.87496804528466,1,0,2.0848271499999997,1,1,,10.248513745149388,,26.02,48.34340000000002,2,DB00191
DB00192,drugbank,308.4174,2,35.559437215246476,2,0,3.262375880333332,3,1,,16.505978990594087,10.404717133138073,55.120000000000005,94.04620000000006,6,DB00192
DB00193,drugbank,263.3752,3,30.452983864104386,1,0,2.4498614993333323,2,1,,13.795217794641689,9.231111081713522,32.7,78.26920000000001,4,DB00193
DB00194,drugbank,267.2413,8,24.491812595571652,4,0,-2.0909638716666668,3,0,13.891216627250436,12.454003289052789,4.9884408144871495,139.54,63.1956,2,DB00194
DB00195,drugbank,307.4278,4,37.052891255574565,2,0,2.539234387333333,2,1,,14.087971415863102,9.666166605708497,50.72,88.63960000000003,11,DB00195
DB00196,drugbank,306.2708,5,26.521181986617826,1,0,0.5609582823333339,3,0,,12.707208218459204,2.563235647156804,81.65,97.1995,5,DB00196
DB00197,drugbank,441.54,5,47.07923558471997,2,0,5.495204457666666,4,-1,10.79429140046759,6.61355777563998,-4.558161720453246,84.86,120.9914,5,DB00197
